residue_type,stereo_abs,stereo_rel,short label,canonical smiles,doi,url
,,,Mr-791,S=C(Nc1ccccc1c1ccccc1)Nc1ccccc1c1ccccc1,10.14272/OKECALHCRRAAJW-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/OKECALHCRRAAJW-UHFFFAOYSA-N.1
,,,Mr-792,C#Cc1ccc(cc1)/C/1=C/2\C=CC(=N2)/C(=c\2/cc/c(=C(/C3=N/C(=C(\c4[n-]c1cc4)/c1ccc(cc1)C#C)/C=C3)\c1ccc(cc1)C#C)/[n-]2)/c1ccc(cc1)C#C.[Zn+2],10.14272/ISPRAZFRFDRHKK-YOPYOQPVSA-N.1,https://dx.doi.org/10.14272/ISPRAZFRFDRHKK-YOPYOQPVSA-N.1
,,,Mr-793,O/N=C/c1c(Cl)c(/C=N/O)c(c(c1Cl)/C=N/O)Cl,10.14272/JQLKATZZFYOJFA-ZDGJYNKJSA-N.1,https://dx.doi.org/10.14272/JQLKATZZFYOJFA-ZDGJYNKJSA-N.1
,,,Mr-794,Cc1c(I)c(C)c(c(c1I)C)I,10.14272/UUMJKZVRNPVQAM-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/UUMJKZVRNPVQAM-UHFFFAOYSA-N.1
,,,Mr-795,CCOc1cc(OC)c2c(c1)oc(=O)c(c2)C,10.14272/CCPQGBVKVSOMQZ-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/CCPQGBVKVSOMQZ-UHFFFAOYSA-N.1
,,,Mr-796,c1ccc(cc1)P(c1cc2ccc1CCc1ccc(CC2)cc1)c1ccccc1.B,10.14272/XEJVSRGEPLGPFQ-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/XEJVSRGEPLGPFQ-UHFFFAOYSA-N.1
,,,Mr-797,[O-][N+](=O)c1ccc2c(c1)c1cc(ccc1[nH]2)[N+](=O)[O-],10.14272/IARXLBTXILYASE-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/IARXLBTXILYASE-UHFFFAOYSA-N.1
,,,Mr-798,CCOC(=O)c1cc2ccc1CCc1ccc(CC2)cc1,10.14272/QEWOVBQCEHBPJZ-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/QEWOVBQCEHBPJZ-UHFFFAOYSA-N.1
,,,Mr-799,N#Cc1ccc2c(c1)c1cc(ccc1[nH]2)C#N,10.14272/TZXYZCGWHFCFDX-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/TZXYZCGWHFCFDX-UHFFFAOYSA-N.1
,,,Mr-80,CO[C@@H]1O[C@@H](C)/C(=N/O)/[C@@]2([C@H]1OC(O2)(C)C)C,10.14272/FICFLYUZQXNMNJ-MMWZJYQFSA-N.1,https://dx.doi.org/10.14272/FICFLYUZQXNMNJ-MMWZJYQFSA-N.1
,,,Mr-800,CCOc1cc(OC)c2c(c1)oc(=O)c(c2)CC,10.14272/ZEPRFTSMCIGBNA-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/ZEPRFTSMCIGBNA-UHFFFAOYSA-N.1
,,,Mr-802,Cc1c([N+](=O)[O-])c(C)c(c(c1[N+](=O)[O-])C)[N+](=O)[O-],10.14272/YVJCXMCIFPUNDO-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/YVJCXMCIFPUNDO-UHFFFAOYSA-N.1
,,,Mr-803,CCOc1cc(OC)c2c(c1)oc(=O)cc2,10.14272/ARGOBXHINXWKSU-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/ARGOBXHINXWKSU-UHFFFAOYSA-N.1
,,,Mr-804,Cc1cc(nc2c1cccc2)c1cc(cc(c1)c1cc(C)c2c(n1)cccc2)c1cc(C)c2c(n1)cccc2,10.14272/PWTNETRVGSMRCP-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/PWTNETRVGSMRCP-UHFFFAOYSA-N.1
,,,Mr-805,C[Si](C#Cc1ccccc1C#C[Si](C)(C)C)(C)C,10.14272/AOXOMZYRICNLQZ-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/AOXOMZYRICNLQZ-UHFFFAOYSA-N.1
,,,Mr-807,CC1(C)c2ccccc2N(c2c1cccc2)c1ccc2c(c1)c1cccc3c1b(o2)oc1c3cccc1,10.14272/YMNLSOVGPZNUAI-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/YMNLSOVGPZNUAI-UHFFFAOYSA-N.1
,,,Mr-808,CCCCCc1cc2c(OC)cc(cc2oc1=O)OCC,10.14272/VOWKMWCXVPTJJT-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/VOWKMWCXVPTJJT-UHFFFAOYSA-N.1
,,,Mr-809,COc1cc(NC(=O)OCC=C)cc(c1)OC,10.14272/WSLOJDPASDBXGF-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/WSLOJDPASDBXGF-UHFFFAOYSA-N.1
,,,Mr-81,CCN(c1ccc2c(c1)oc(=O)cc2OCC(=O)C)CC,10.14272/QHKIAJLBPBETGT-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/QHKIAJLBPBETGT-UHFFFAOYSA-N.1
,,,Mr-810,CCCCCCc1cc2c(OC)cc(cc2oc1=O)OCC,10.14272/NSHPQKDJICKLAZ-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/NSHPQKDJICKLAZ-UHFFFAOYSA-N.1
,,,Mr-811,CCCCc1cc2c(OC)cc(cc2oc1=O)OCC,10.14272/WNANNSIOSNQVAB-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/WNANNSIOSNQVAB-UHFFFAOYSA-N.1
,,,Mr-812,CCCc1cc2c(OC)cc(cc2oc1=O)OCC,10.14272/DHWWIODBWJXCME-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/DHWWIODBWJXCME-UHFFFAOYSA-N.1
,,,Mr-813,CCCn1nc(c2c1cccc2)NC(=O)c1cccc2c1cccc2,10.14272/ZFMUMEOZDFEPGU-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/ZFMUMEOZDFEPGU-UHFFFAOYSA-N.1
,,,Mr-814,Clc1cc(Cl)cc(c1)c1nc(C)nc(c1)c1cc(Cl)cc(c1)Cl,10.14272/XTGFEBOHSVVMNP-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/XTGFEBOHSVVMNP-UHFFFAOYSA-N.1
,,,Mr-815,Brc1cc(Br)c(c(n1)Cl)N,10.14272/MELFQEILRLHIJL-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/MELFQEILRLHIJL-UHFFFAOYSA-N.1
,,,Mr-816,Brc1ccc(c(n1)Cl)N,10.14272/YCECOMBEVDPUJG-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/YCECOMBEVDPUJG-UHFFFAOYSA-N.1
,,,Mr-817,Ic1ccc(c(n1)Cl)N,10.14272/LXHPKNMJRJBWRP-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/LXHPKNMJRJBWRP-UHFFFAOYSA-N.1
,,,Mr-818,CCC(c1cccc(n1)C(CC)C)C,10.14272/PUZXAVHMXPRPRG-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/PUZXAVHMXPRPRG-UHFFFAOYSA-N.1
,,,Mr-819,Sc1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)S)c1ccc(cc1)S,10.14272/HSJCTVWOPXUHNA-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/HSJCTVWOPXUHNA-UHFFFAOYSA-N.1
,,,Mr-82,Nc1ccc(cc1)/N=N/N(Cc1ccccc1)Cc1ccccc1,10.14272/QWZVUKSWHOPBIP-GHVJWSGMSA-N.1,https://dx.doi.org/10.14272/QWZVUKSWHOPBIP-GHVJWSGMSA-N.1
